(Parent) ASIN,(Child) ASIN,Title,Sessions - Mobile App,Sessions - Browser,Sessions - Total,Session Percentage - Mobile App,Session Percentage - Browser,Session Percentage - Total,Page Views - Mobile App,Page Views - Browser,Page Views - Total,Page Views Percentage - Mobile App,Page Views Percentage - Browser,Page Views Percentage - Total,Featured Offer Percentage,Units Ordered,Unit Session Percentage,Ordered Product Sales,Total Order Items,Date
B0DTJZBTWS,B0DTJZBTWS,Pure Tree Certified Organic Freshly Milled Ragi Flour Finger Millet | 5 Kg | Finger Millet | Nachni | Nagli | Ragi Millet Gluten-Free | Bavto | Red Finger Millet | Ragi Whole Grain,0,1,1,0,0.0019,0.0004,0,1,1,0,0.0009,0.0003,0,0,0,₹0.00,0,12-05-2025
B0DVLKBJZ7,B0DVLKBJZ7,Pure Tree Certified Organic Garam Masala Whole | 100 g | Sabut Khada Masala | Aromatic Blend of Spices & Masalas Whole | Khada Masala Garam | Whole Spices Mix | Flavourful Spices Organic,5,3,8,0.0029,0.0057,0.0035,11,4,15,0.0045,0.0035,0.0042,1,0,0,₹0.00,0,12-05-2025
B0DZHD5X9D,B0DZHD5X9D,"Pure Tree Blue Aqua Glass Bottle1000 ml | Swing Flip Top Cap | Airtight Lid | Bottles Set For Fridge, Juice, Milk, Smoothies, Soda | Swing Flip Top Cap | Pack Of 1",11,1,12,0.0064,0.0019,0.0053,13,1,14,0.0053,0.0009,0.0039,1,0,0,₹0.00,0,12-05-2025
B0F1MN8YN8,B0F1MN8YN8,Pure Tree Round Glass Jar 250 ml | BPA Free Glass jars for kitchen storage | Kitchen Containers with lid | Multipurpose Jar | Airtight Storage Container | Premium Silver Cap | Pack Of 4,0,1,1,0,0.0019,0.0004,0,1,1,0,0.0009,0.0003,1,0,0,₹0.00,0,12-05-2025
B0F1SYNVPP,B0F1SYNVPP,Pure Tree Round Glass Jar 1000 ml | BPA Free Glass jars for kitchen storage | Kitchen Containers with lid | Multipurpose Jar | Glass Storage Container | See Through Cap | Pack Of 4,1,0,1,0.0006,0,0.0004,1,0,1,0.0004,0,0.0003,1,0,0,₹0.00,0,12-05-2025
B0F1T1PLNL,B0F1T1PLNL,Pure Tree Round Glass Jar 1000 ml | BPA Free Glass jars for kitchen storage | Kitchen Containers with lid | Multipurpose Jar | Glass Storage Container | See Through Cap | Pack Of 2,1,0,1,0.0006,0,0.0004,2,0,2,0.0008,0,0.0006,1,0,0,₹0.00,0,12-05-2025
B0F1TGLSWV,B0F1TGLSWV,Pure Tree Round Glass Jar 1000 ml | BPA Free Glass jars for kitchen storage | Kitchen Containers with lid | Multipurpose Jar | Airtight Storage Container | Red Cap | Pack Of 4,3,0,3,0.0017,0,0.0013,13,0,13,0.0053,0,0.0036,1,0,0,₹0.00,0,12-05-2025
B0F1TJHQ5J,B0F1TJHQ5J,Pure Tree Round Glass Jar 1000 ml | BPA Free Glass jars for kitchen storage | Kitchen Containers with lid | Multipurpose Jar | Airtight Storage Container | Red Cap | Pack Of 1,4,0,4,0.0023,0,0.0018,7,0,7,0.0029,0,0.0019,1,0,0,₹0.00,0,12-05-2025
B09M3QD9PJ,B09M3QD9PJ,Pure Tree Certified Organic Coriander Seeds | 250 g | Dhaniya | Coriander Whole | Khada Dhania | Sabut Daniyalu Seeds with Aroma & Flavour,22,3,25,0.0119,0.0049,0.0102,28,5,33,0.0107,0.0062,0.0097,1,18,0.72,"₹2,592.00",9,13-05-2025
B09M3PB88S,B09M3PB88S,Pure Tree Certified Organic Mustard Seeds Big | 250 Gm | Black Mustard Rai Seeds Big | Sasive Seeds Whole Kali Rai Dana | Sarson Dana Indian Spice Gluten Free,7,5,12,0.0038,0.0082,0.0049,10,6,16,0.0038,0.0075,0.0047,1,15,1.25,"₹1,890.00",8,13-05-2025
B000HDV7YS,B000HDV7YS,Nordic Naturals Ultimate Omega 3 Fish Oil Softgels | 1280 Mg Omega 3 Fatty Acids | High-Potency Fish Oil Omega 3 Supplement For Men And Women With EPA & DHA | Fish Oil Lemon Flavour 60 Softgels,146,53,199,0.079,0.0865,0.0808,227,63,290,0.0871,0.0783,0.085,0.5402,6,0.0302,"₹25,123.92",6,13-05-2025
B075882FKG,B075882FKG,"Nordic Naturals Children'S DHA Xtra|880 mg Omega 3 Fish Oil From Arctic Cod Liver Oil|EPA & DHA For Kids Supports Brain Development Kids Ages 1-6 Yrs|Berry Punch Fish Oil (60 ml), 0.14 grams",35,10,45,0.0189,0.0163,0.0183,71,24,95,0.0273,0.0298,0.0279,0.9878,6,0.1333,"₹27,732.00",6,13-05-2025
B09M3RJTWD,B09M3RJTWD,"Pure Tree Certified Organic Fennel Seeds | 250 gm | Saunf, Variyali | Perumjeerakam Whole Spices Sombu Whole | Fennel seeds Saunf | Organic Saunf Rich Flavour Sombu",18,3,21,0.0097,0.0049,0.0085,18,6,24,0.0069,0.0075,0.007,1,6,0.2857,"₹1,524.00",6,13-05-2025
B09RV5DFK5,B09RV5DFK5,Pure Tree Certified Organic Dalchini Whole | 100 g | Dalchini Cinnamon Stick Organic | Cinnamon Bark | Spices Whole | Garam Masala | Sweet Aroma & Flavour,16,5,21,0.0087,0.0082,0.0085,19,7,26,0.0073,0.0087,0.0076,1,4,0.1905,₹780.00,4,13-05-2025
B0BG2VTN5C,B0BG2VTN5C,Pure Tree Certified Organic Barley Cereal Grain | 350 g | Raw Jau Grain | Whole Barley | Low Glycemic Index | Barly Seeds Pearl Barley Seeds,14,6,20,0.0076,0.0098,0.0081,14,11,25,0.0054,0.0137,0.0073,0.84,4,0.2,₹660.00,4,13-05-2025
B0014FUQ1S,B0014FUQ1S,Nordic Naturals Ultimate Omega - Minis 1120 Mg Omega 3 Fish Oil Supplement EPA & DHA | Optimum Wellness & Heart Health | Strawberry Fish Oil For Men And Women | 60 Mini Softgels,16,8,24,0.0087,0.0131,0.0097,34,14,48,0.0131,0.0174,0.0141,0.8605,3,0.125,"₹15,027.00",3,13-05-2025
B002CQU4ZG,B002CQU4ZG,"Nordic Naturals Omega 3 Fish Oil EPA And DHA | 690Mg Omega 3 Fish Oil Support Brain, Heart Health & Immunity | Omega Fish Oil For Men & Women Lemon Fish Oil Flavour 60 Softgels",63,31,94,0.0341,0.0506,0.0382,104,38,142,0.0399,0.0472,0.0416,0.9771,3,0.0319,"₹8,879.00",3,13-05-2025
B004UJCIZM,B004UJCIZM,Nordic Naturals Ultimate Omega Junior Fish Oil | 680 Total Omega-3S With EPA & DHA Supplement Fish Oil For Kids | Dietary Supplement For Kids | Strawberry Flavour 90 Mini Chewable Softgels,23,21,44,0.0124,0.0343,0.0179,49,39,88,0.0188,0.0484,0.0258,0.9474,3,0.0682,"₹13,680.00",3,13-05-2025
B09LYZ3PL3,B09LYZ3PL3,Pure Tree Certified Organic Elaichi | 50 g | Organic Green Cardamom Whole Spices Hari Chhoti Elaichi Seeds Unique Aroma & Pleasant Flavour,7,2,9,0.0038,0.0033,0.0037,8,2,10,0.0031,0.0025,0.0029,1,4,0.4444,"₹1,996.00",3,13-05-2025
B09M3SYM74,B09M3SYM74,Pure Tree Certified Organic Carom Seeds | 250 g | Ajwain Seeds | Omam | Vamu | Ajowan | Ayamodakam Seeds Rich In Antioxidants,12,3,15,0.0065,0.0049,0.0061,19,3,22,0.0073,0.0037,0.0065,1,4,0.2667,"₹1,036.00",3,13-05-2025
B000H3VC0W,B000H3VC0W,Nordic Naturals Children’S DHA For Omega 3 | Fish Oil For Kids 250 Mg From Arctic Cod Liver Oil | Omega 3 EPA & DHA For Kids 3-6 Yrs| Brain Development & Immunity Strawberry Fish Oil 90 Mini Softgels,18,9,27,0.0097,0.0147,0.011,31,13,44,0.0119,0.0161,0.0129,0.7297,2,0.0741,"₹5,064.00",2,13-05-2025
B000PSX1SA,B000PSX1SA,Nordic Naturals Children's Dha For Omega 3 | Fish Oil For Kids 530Mg From Arctic Cod Liver Oil | Omega 3 Fish Oil Epa & Dha For Kids For Brain Development & Immunity | Strawberry Flavour 4 Floz 119 Ml,64,25,89,0.0346,0.0408,0.0361,106,42,148,0.0407,0.0522,0.0434,0.3942,2,0.0225,"₹6,338.00",2,13-05-2025
B002CQU53C,B002CQU53C,Nordic Naturals Children’S DHA For Omega 3 | Fish Oil For Kids 250Mg From Arctic Cod Liver Oil | Omega 3 EPA & DHA For Kids 3-6 Yrs| Brain Development & Immunity Strawberry Fish Oil 360 Mini Softgels,3,1,4,0.0016,0.0016,0.0016,4,1,5,0.0015,0.0012,0.0015,1,2,0.5,"₹13,936.00",2,13-05-2025
B002WTCLG8,B002WTCLG8,Nordic Naturals Ultimate Omega 3 Fish Oil Liquid | High Potency Omega 3 Fatty Acids Supplement For Men & Women | 2840 Mg Omega 3 Fish Oil EPA & DHA | Promotes Brain & Heart Health | Lemon Flavour 4 Oz,19,1,20,0.0103,0.0016,0.0081,28,1,29,0.0107,0.0012,0.0085,0.9259,2,0.1,"₹13,138.00",2,13-05-2025
B015TQ7USO,B015TQ7USO,"Nordic Naturals Ultimate Omega 2X | 2150 Mg Omega 3 Fish Oil Supplement EPA And DHA | Omega 3 For Optimum Wellness & Brain, Heart Health | Omega 3 Lemon Fish Oil For Men And Women | 60 Softgels",16,6,22,0.0087,0.0098,0.0089,23,6,29,0.0088,0.0075,0.0085,0.8889,2,0.0909,"₹14,204.00",2,13-05-2025
B01LTHMG4A,B01LTHMG4A,Nordic Naturals Ultimate Omega + CoQ10 Supplement | 1280 Mg Omega 3 Fish Oil & Ubiquinol CoQ10 100Mg | Coenzyme Q10 For Cardiovascular Health & Antioxidant Support | Lemon Fish Oil Flavour 120 Softgel,8,0,8,0.0043,0,0.0032,11,0,11,0.0042,0,0.0032,1,2,0.25,"₹25,288.00",2,13-05-2025
B07FD9R43P,B07FD9R43P,Nordic Naturals Ultimate Omega 3 Fish Oil Softgels | 1280 Mg EPA & DHA Supplement For Men & Women | High-Potency Supplement | Lemon Flavour Fish Oil 180 Softgels,17,8,25,0.0092,0.0131,0.0102,33,9,42,0.0127,0.0112,0.0123,0.8889,2,0.08,"₹21,640.00",2,13-05-2025
B07WMZTX28,B07WMZTX28,"Nordic Naturals Zero Sugar Children's DHA Gummies | Fish oil for kids 600mg Omega 3 EPA & DHA for kids - Age 1-6 Yrs | Tropical Punch Fish oil - 30 gummy chew, 70 grams",21,4,25,0.0114,0.0065,0.0102,36,5,41,0.0138,0.0062,0.012,0.6571,2,0.08,"₹7,490.00",2,13-05-2025
B09M3T51GH,B09M3T51GH,Pure Tree Certified Organic Jeera Seeds | 250 Gm| Cumin Seeds | Sabut Jeera | Jeera Whole Spices | Jeelakarra | Zeera | Organic Spices | Boost Immunity | For Curries & Veg,13,4,17,0.007,0.0065,0.0069,15,4,19,0.0058,0.005,0.0056,1,2,0.1176,₹560.00,2,13-05-2025
B09WMZ8NDK,B09WMZ8NDK,Pure Tree Certified Organic Dalchini Powder | 150 Gm | Glass Jar | Organic Cinnamon Powder | Dal Chini Powder Indian Spices Aroma & Flavour | Gluten Free Cineman Dalchini,1,0,1,0.0005,0,0.0004,1,0,1,0.0004,0,0.0003,1,2,2,₹550.00,2,13-05-2025
B09WN1DH52,B09WN1DH52,Pure Tree Certified Organic Dalchini Powder | 60 Gm | Glass Jar | Organic Cinnamon Powder | Dal Chini Powder Indian Spices Aroma & Flavour | Gluten Free Cineman Dalchini,12,8,20,0.0065,0.0131,0.0081,19,8,27,0.0073,0.0099,0.0079,1,2,0.1,₹346.00,2,13-05-2025
B0BY4K5YY7,B0BY4K5YY7,Pure Tree Certified Organic Black Cardamom Whole | 100 g | Badi Elaichi Indian Spice | Moti Elaichi Organic Adds Aroma and Flavour | Cardamom Elaichi Whole,8,2,10,0.0043,0.0033,0.0041,9,2,11,0.0035,0.0025,0.0032,1,2,0.2,"₹1,150.00",2,13-05-2025
B0CQ2NHQWC,B0CQ2NHQWC,Naturtint Permanent Hair Colour Dark Brown 3N | For Optimal Scalp Care| 100% Grey Coverage | Long Lasting Hair Colour | Ammonia Free Vegan | No Parabens | Enriched with Olives & Organic Shea Butter,34,5,39,0.0184,0.0082,0.0158,55,7,62,0.0211,0.0087,0.0182,0.4364,2,0.0513,"₹2,500.00",2,13-05-2025
B0CQ2QTZBM,B0CQ2QTZBM,Naturtint Permanent Hair Colour Gel Black Natural 1N|For Optimal Scalp Care|100% Grey Coverage|Long Lasting Hair Colour|Ammonia Free Vegan|No Parabens|Enriched with Olives & Organic Shea Butter,45,8,53,0.0243,0.0131,0.0215,61,8,69,0.0234,0.0099,0.0202,0.4603,2,0.0377,"₹2,500.00",2,13-05-2025
B0CV9JYX1D,B0CV9JYX1D,Pure Tree Certified Organic Saunf Powder|250 Gram|Fennel Seed Powder Organic|Variyali Powder|Sompu Powder|Saunf Powder Gluten Free & Flavourful,2,1,3,0.0011,0.0016,0.0012,2,1,3,0.0008,0.0012,0.0009,1,2,0.6667,₹546.00,2,13-05-2025
B0DVLKBJZ7,B0DVLKBJZ7,Pure Tree Certified Organic Garam Masala Whole | 100 g | Sabut Khada Masala | Aromatic Blend of Spices & Masalas Whole | Khada Masala Garam | Whole Spices Mix | Flavourful Spices Organic,5,1,6,0.0027,0.0016,0.0024,6,1,7,0.0023,0.0012,0.0021,1,2,0.3333,₹520.00,2,13-05-2025
B002CQU4Z6,B002CQU4Z6,"Nordic Naturals EPA Xtra | 1640 Mg Omega-3 Fish Oil With EPA & DHA Supplement | High-Intensity Omega EPA Supplement | Promotes Mood, Heart Health & Immune Function | 60 Lemon Flavour Fish Oil Softgels",2,1,3,0.0011,0.0016,0.0012,3,1,4,0.0012,0.0012,0.0012,1,2,0.6667,"₹12,150.00",1,13-05-2025
B002CQU50A,B002CQU50A,"Nordic Naturals Complete Omega Junior | 283 Mg Omega 3 Fish Oil For Kids | EPA & DHA Supplement With Gla, Oa | Fish Oil Omega 3 6 9 Dietary Supplement | Fish Oil Lemon Flavour | 90 Softgel (Mini)",19,6,25,0.0103,0.0098,0.0102,25,8,33,0.0096,0.0099,0.0097,0.875,1,0.04,"₹3,871.00",1,13-05-2025
B002CQU532,B002CQU532,Nordic Naturals Ultimate Omega + CoQ10 Supplement | 1280 Mg Omega 3 Fish Oil & Ubiquinol CoQ10 100Mg | Coenzyme Q10 For Cardiovascular Health & Antioxidant Support | Lemon Fish Oil Flavour 60 Softgel,11,2,13,0.0059,0.0033,0.0053,13,2,15,0.005,0.0025,0.0044,0.2857,1,0.0769,"₹7,082.00",1,13-05-2025
B002CQU546,B002CQU546,"Nordic Naturals Complete Omega 3 Fish Oil Supplement | 565 Mg Omega 3 Fish Oil | EPA & DHA Supplement With Gla, Oa | Fish Oil Omega 3 6 9 Dietary Supplement | Lemon Fish Oil 120 Fish Oil Softgel",3,3,6,0.0016,0.0049,0.0024,5,3,8,0.0019,0.0037,0.0023,1,1,0.1667,"₹6,683.00",1,13-05-2025
B002CQU54Q,B002CQU54Q,"Nordic Naturals Ultimate Omega 3 Softgels | Omega 3 1280 Mg EPA & DHA Supplement For Men & Women | High-Potency Omega 3 Supplement | Lemon| Fish Oil 120 Softgels,2 count,120 capsules",92,34,126,0.0498,0.0555,0.0512,123,42,165,0.0472,0.0522,0.0484,0.1316,1,0.0079,"₹7,070.00",1,13-05-2025
B002CQU58M,B002CQU58M,Nordic Naturals Omega 3 Fish Oil In Fish Gelatin Softgels | 690 Mg Omega 3 Fish Oil With EPA & DHA Supplement | Omega 3 Supplement For Pescatarian & Restricted Diets | 60 Fish Oil Lemon Softgels,18,4,22,0.0097,0.0065,0.0089,29,4,33,0.0111,0.005,0.0097,0.2188,1,0.0455,"₹2,850.00",1,13-05-2025
B002CQU596,B002CQU596,"Nordic Naturals Omega 3 Pet Supplement | 330 mg Omega 3 Dog Skin and Coat Supplement | Fish Oil for Dogs with EPA & DHA | Promotes Heart, Skin, Coat, Joint, & Immune Health - Unflavored 180 Soft Gels",2,1,3,0.0011,0.0016,0.0012,3,1,4,0.0012,0.0012,0.0012,1,1,0.3333,"₹6,084.00",1,13-05-2025
B002WTCLGI,B002WTCLGI,Nordic Naturals Children'S Dha For Omega 3|Fish Oil For Kids 530Mg From Arctic Cod Liver Oil|Omega 3 Fish Oil Epa&Dha For Kids For Brain Development&Immunity|Strawberry Flavour 8 Floz 237 Ml,20,9,29,0.0108,0.0147,0.0118,25,12,37,0.0096,0.0149,0.0109,0.4595,1,0.0345,"₹5,575.00",1,13-05-2025
B002WTCLJA,B002WTCLJA,"Nordic Naturals Arctic Cod Liver Oil | 1060 Mg Omega 3 Fish Oil EPA & DHA Supplement | Omega 3 Cod Liver Oil Liquid For Heart, Brain Health & Optimal Wellness | Unflavoured Fish Oil 8 Fl Oz (237 Ml)",11,3,14,0.0059,0.0049,0.0057,14,5,19,0.0054,0.0062,0.0056,1,1,0.0714,"₹5,577.00",1,13-05-2025
B002WTCM3A,B002WTCM3A,"Nordic Naturals Arctic Cod Liver Oil|1060 Mg Omega 3 Fish Oil Epa & Dha Supplement|Omega 3 Cod Liver Oil Liquid For Heart,Brain Health|Flavour Orange Fish Oil 8 Fl Oz(237 Ml),48 Servings",6,3,9,0.0032,0.0049,0.0037,8,3,11,0.0031,0.0037,0.0032,0.8889,1,0.1111,"₹5,576.00",1,13-05-2025
B004GEWJVE,B004GEWJVE,Nordic Naturals Ultimate Omega 3 Fish Oil In Fish Gelatin | 1280Mg EPA & DHA Supplement | Omega 3 Supplement For Pescatarian & Restricted Diets | 60 Fish Oil Lemon Flavour Softgel,29,12,41,0.0157,0.0196,0.0167,45,16,61,0.0173,0.0199,0.0179,0.7193,1,0.0244,"₹4,379.00",1,13-05-2025
B004LSFKVG,B004LSFKVG,"Nordic Naturals Daily Omega Kids|340 mg Omega 3 Fish Oil With EPA & DHA Supplement|Supports Brain Health & Visual Function In Kids DHA|Strawberry Flavour Fish Oil 30 Soft Gels, 0.02 grams",15,7,22,0.0081,0.0114,0.0089,17,9,26,0.0065,0.0112,0.0076,0.28,1,0.0455,"₹1,649.00",1,13-05-2025
B00537E45W,B00537E45W,"Nordic Naturals Complete Omega Junior | 283 Mg Omega 3 Fish Oil For Kids | EPA & DHA Supplement With Gla, Oa | Omega 3 6 9 Dietary Supplement | Lemon Flavour | 180 Mini Softgel",5,4,9,0.0027,0.0065,0.0037,6,4,10,0.0023,0.005,0.0029,0.7778,1,0.1111,"₹6,631.00",1,13-05-2025
B00CHN1JU8,B00CHN1JU8,"Nordic Naturals Arctic Cod Liver Oil|750 Mg Omega 3 Fish Oil EPA & DHA Supplement|Omega 3 Cod Liver Oil Liquid For Heart,Brain Health & Optimal Wellness|Flavour Lemon Fish Oil 90 Softgels, 160 grams",17,11,28,0.0092,0.0179,0.0114,26,16,42,0.01,0.0199,0.0123,0.8286,1,0.0357,"₹3,630.00",1,13-05-2025
B06XPPP4M2,B06XPPP4M2,Nordic Naturals Ultimate Omega 2X | 2150 Mg Omega 3 Fish Oil Supplement EPA And DHA | Omega 3 For Optimum Wellness & Heart Health | Omega 3 Lemon Fish Oil For Men And Women | 120 Softgels,5,4,9,0.0027,0.0065,0.0037,5,5,10,0.0019,0.0062,0.0029,1,1,0.1111,"₹13,424.00",1,13-05-2025
B084NRRCZR,B084NRRCZR,Boldify Hair Fibers For Thickening Hair Undetectable & Natural - 12 Grams Bottle - Completely Conceals Hair Loss In 15 Sec - Hair Thickener & Topper For Fine Hair For Women's & Men- Light Brown,1,2,3,0.0005,0.0033,0.0012,1,2,3,0.0004,0.0025,0.0009,1,1,0.3333,"₹1,880.00",1,13-05-2025
B09M3Q32GM,B09M3Q32GM,Pure Tree Certified Organic Methi Dana | 250 g | Organic Fenugreek Seeds | Methi Seeds Whole Spices | Menthulu Seeds | Vendayam | Rich in Aroma and Flavour,4,1,5,0.0022,0.0016,0.002,5,1,6,0.0019,0.0012,0.0018,1,1,0.2,₹175.00,1,13-05-2025
B09M3RZJY9,B09M3RZJY9,Pure Tree Certified Organic Moth Dal Whole | 850 g | Matki Whole | Muth Dal Unpolished Moth Sabut Beans | Matki Turkish Gram | Rich In Protein & Fibre Gluten-Free,4,0,4,0.0022,0,0.0016,8,0,8,0.0031,0,0.0023,1,1,0.25,₹299.00,1,13-05-2025
